image_pair,distance,word_cosine_sim,response_cosine_sim
190_270,80,0.06461613019041901,0.0
190_280,90,0.0451316378729331,0.0
190_290,100,0.08734362914366724,0.0
30_190,160,0.09961381886057545,0.07126966450997983
190_300,110,0.02109797373582134,0.0
190_310,120,0.00970176742281696,0.0
190_320,130,0.0,0.0
190_330,140,0.018803504517594872,0.0
190_340,150,0.0,0.0
190_350,160,0.0,0.0
190_360,170,0.004909043522849907,0.0
40_190,150,0.11317191247566251,0.07844645405527362
50_190,140,0.1125137354252389,0.11748539016153646
60_190,130,0.20751058541829395,0.23335334047877918
70_190,120,0.17299572043614667,0.20788046015507497
80_190,110,0.14978617237881953,0.17483145522430754
90_190,100,0.13953035603811034,0.11137801978460221
190_dog,NA,0.0,0.0
190_square,NA,0.3108636167827327,0.13962048371457902
190_triangle,NA,0.1038662086223129,0.0
20_200,180,0.07772120162278422,0.05291968335835039
20_210,170,0.13584645256714972,0.04379398714799069
20_220,160,0.0914396194949319,0.013078881186189037
20_230,150,0.4272474360277547,0.23573864262316105
20_240,140,0.6825900699100618,0.3427061056930415
20_250,130,0.7544588716896389,0.4197717062708021
20_260,120,0.7223233867264334,0.4271544708353324
20_270,110,0.7103928539201046,0.31645569620253167
20_280,100,0.732773172092927,0.4456012082938747
20_290,90,0.7479014031780792,0.4391893458348875
20_30,10,0.6589705989549355,0.5528162322313309
20_300,80,0.7083381541352267,0.3918265062868399
20_310,70,0.7518932344470508,0.45460416238613144
20_320,60,0.7881062929946312,0.5730351842710091
20_330,50,0.8298730256426213,0.542260034189185
20_340,40,0.8470674316017817,0.612538044708665
20_350,30,0.8803318411059092,0.6698367497452817
20_360,20,0.8335138131147987,0.6446909058092671
20_40,20,0.5356272507295889,0.40565621161929283
20_50,30,0.4936831746404539,0.3738654317089519
20_60,40,0.24552983583446694,0.1443912942924916
20_70,50,0.12153545750291105,0.13531157534795932
20_80,60,0.1139331787969125,0.12363416685043632
20_90,70,0.03301890873943024,0.0379746835443038
20_dog,NA,0.0006690228023649394,0.0
20_square,NA,0.0,0.0
20_triangle,NA,0.0,0.0
200_210,10,0.7962604436990709,0.7543207088709617
200_220,20,0.76220398930493,0.7928352025830557
200_230,30,0.6884558000395292,0.7490118679496182
200_240,40,0.3942037561155111,0.5157849561342048
200_250,50,0.13859760928635512,0.10028118151502742
200_260,60,0.11785337555856895,0.12500498275965358
200_270,70,0.11667682179962387,0.0952554300450307
200_280,80,0.13488634291263524,0.09314524564569023
200_290,90,0.10647955312453541,0.1009854520487736
30_200,170,0.09472875604517422,0.04740787563565186
200_300,100,0.11823033079799204,0.10296574746131472
200_310,110,0.08698793058234341,0.07602172631288448
200_320,120,0.0890783942670633,0.09126332951925507
200_330,130,0.08148800515323262,0.08096436125954337
200_340,140,0.08367310022632767,0.09791333233511945
200_350,150,0.0812827782649736,0.08898328579780593
200_360,160,0.09903473427129487,0.0781226159233428
40_200,160,0.07805548790364746,0.026090902514277467
50_200,150,0.07706263885144646,0.01116430272077847
60_200,140,0.09437725666588447,0.008623574061703174
70_200,130,0.05655100286302616,0.012570911378856726
80_200,120,0.047964710954330955,0.0
90_200,110,0.03475156294325043,0.0
200_dog,NA,0.0,0.0
200_square,NA,0.0774239875259901,0.0
200_triangle,NA,0.0,0.0
210_220,10,0.921969735432699,0.8733121078251679
210_230,20,0.8219004576669637,0.7503436020013108
210_240,30,0.5072270197871842,0.4900764688592838
210_250,40,0.21616191116208747,0.06639061303092922
210_260,50,0.16901925880146954,0.08128103472893666
210_270,60,0.17310197154098583,0.05255278457758882
210_280,70,0.20150736025344462,0.061666305341717374
210_290,80,0.16748565259243695,0.06077897411180691
30_210,180,0.10674330627152918,0.039232659089099974
210_300,90,0.1441258883500413,0.05422447813859475
210_310,100,0.16114009602417476,0.06291221515007775
210_320,110,0.16385538793257778,0.06923170027119144
210_330,120,0.1692540796360368,0.0670025210172808
210_340,130,0.1649995369917448,0.07479575920067656
210_350,140,0.16236756658484505,0.07363862796053906
210_360,150,0.16307208989539007,0.06465081838352359
40_210,170,0.09328597680757682,0.021591675854376522
50_210,160,0.06530684670943267,0.009239082678541762
60_210,150,0.048339648112328944,0.0071364881205091745
70_210,140,0.023172155456696205,0.010403129732205987
80_210,130,0.01146475419945138,0.0
90_210,120,0.0,0.0
210_dog,NA,0.0,0.0
210_square,NA,0.05609707372695238,0.0
210_triangle,NA,0.0,0.0
220_230,10,0.8079306148348184,0.7834919216549815
220_240,20,0.462339083434037,0.4839295362379385
220_250,30,0.14784215762971775,0.00619601996370762
220_260,40,0.11229379270563997,0.01655060637015661
220_270,50,0.10603018394884217,0.013078881186189037
220_280,60,0.1434131404199495,0.0
220_290,70,0.11207313002423888,0.017016911869528195
30_220,170,0.06793090694835568,0.0
220_300,80,0.08407757917544038,0.0
220_310,90,0.09097066731424683,0.0
220_320,100,0.09234678324040789,0.0
220_330,110,0.09697326307616878,0.0
220_340,120,0.09375435821404189,0.0
220_350,130,0.09471908268072773,0.0
220_360,140,0.09436289684712669,0.0
40_220,180,0.05714047733080176,0.0
50_220,170,0.05275043787166296,0.013796056546950987
60_220,160,0.033839421672305824,0.01065640357195376
70_220,150,0.02027663548908245,0.0
80_220,140,0.010032154423814102,0.0
90_220,130,0.0,0.0
220_dog,NA,0.0010603699683491732,0.0
220_square,NA,0.09716260769811498,0.0
220_triangle,NA,0.0,0.0
230_240,10,0.7665192032865007,0.730422978095464
230_250,20,0.5464633432427002,0.33503813861070364
230_260,30,0.48982610789177744,0.3182019358586294
230_270,40,0.49054018363743174,0.2514545521313718
230_280,50,0.5500127845366527,0.35269001106132714
230_290,60,0.5062939510353739,0.34761507006140846
30_230,160,0.32834902021196166,0.21118547093938186
230_300,70,0.47094025566408,0.30578421238644077
230_310,80,0.49687613237385536,0.33865014742271643
230_320,90,0.4957000220029867,0.3726673023233283
230_330,100,0.5096344949255921,0.3606678538669729
230_340,110,0.5021107706601466,0.36906656761630763
230_350,120,0.5106583588051387,0.39638935229595557
230_360,130,0.4694595421254171,0.34800887433944494
40_230,170,0.2643558579178348,0.11622582663390896
50_230,180,0.1869802804633875,0.0497330558727746
60_230,170,0.09813919568971682,0.038415000144656486
70_230,160,0.06860602318717501,0.0559990044709918
80_230,150,0.019396461632280277,0.0
90_230,140,0.00421595800670409,0.0
230_dog,NA,0.0,0.0
230_square,NA,0.0,0.0
230_triangle,NA,0.0,0.0
240_250,10,0.8905618801597731,0.5628285773640648
240_260,20,0.8204406769619516,0.5493226407231308
240_270,30,0.8528759793761294,0.5483297691088663
240_280,40,0.8730151687703371,0.603205506406705
240_290,50,0.868382787576435,0.6044346019393666
30_240,150,0.5241650907859339,0.33259614112977903
240_300,60,0.7833579018111771,0.5657720293372247
240_310,70,0.820566329562024,0.5230838012786378
240_320,80,0.8163497142271917,0.5581839313882324
240_330,90,0.8352672858563787,0.5417999219295123
240_340,100,0.814719792301182,0.5527907234461333
240_350,110,0.8193377235083605,0.5819023303315246
240_360,120,0.7621219325586576,0.5143514479571742
40_240,160,0.4492050415592211,0.1689638151108457
50_240,170,0.3155273714337534,0.0722996523298828
60_240,180,0.14573585026717806,0.0558459782124808
