image_pair,distance,word_cosine_sim,lemma_cosine_sim,response_cosine_sim
20_260,120,0.7283300335662259,0.7262520549133309,0.4491547701686472
20_270,110,0.7419331696699787,0.7406165170447263,0.4605282844690196
20_280,100,0.7424434850907441,0.7384767061177471,0.4681408379492694
20_290,90,0.7432568695086129,0.7432568695086129,0.4741046559307604
20_30,10,0.7315118600550502,0.7315118600550502,0.6418268589111595
20_300,80,0.7198491338509104,0.7198491338509104,0.47157222073258376
20_310,70,0.7534157489655456,0.7548750039133315,0.4845718037856915
20_320,60,0.7883611547565329,0.791514599375559,0.5842607518298982
20_330,50,0.8262363198180006,0.8266081476530325,0.5765999761251577
20_340,40,0.8438767818913929,0.8419623986954408,0.6236095644623235
20_350,30,0.8696591590960691,0.8696591590960691,0.6774207316219677
20_360,20,0.8438744658741467,0.8556769059563026,0.6603953494062222
20_40,20,0.4928588745499522,0.49244342257649293,0.4342259648526197
20_50,30,0.502693024986304,0.49397965140102157,0.3896103896103895
20_60,40,0.23555387998396082,0.23925469487113574,0.14789477332930712
20_70,50,0.13412029141688578,0.14689365250420824,0.15508070173307847
20_80,60,0.127387740497353,0.127387740497353,0.1276613804646258
20_90,70,0.0331861655799986,0.0331861655799986,0.036866054986515726
20_dog,NA,0.0,0.0,0.0
20_square,NA,0.0,0.0,0.0
20_triangle,NA,0.0,0.0,0.0
200_210,10,0.8466391207234676,0.8466391207234676,0.813613123136683
200_220,20,0.8170195680646948,0.8170195680646948,0.836297618376802
200_230,30,0.6980750580403424,0.6980750580403424,0.7594432789849901
200_240,40,0.3957924908761896,0.3957924908761896,0.4661813137879052
200_250,50,0.14837962253722112,0.15378338108029865,0.12006004503753284
200_260,60,0.12509067153920322,0.12473377873902305,0.12158031116642803
200_270,70,0.11897056556443468,0.12215256429482826,0.11080797552386636
200_280,80,0.13998964065022654,0.14263783309147954,0.10397504898200727
200_290,90,0.10896715305663912,0.11237237658965908,0.09652465652365368
30_200,170,0.10007038674472547,0.10007038674472547,0.0628901795742547
200_300,100,0.11868660875795252,0.12947630046322092,0.10997402450983054
200_310,110,0.08974592464346672,0.09302715525942083,0.08071830037509471
200_320,120,0.0918859306117027,0.0918859306117027,0.09268965869924987
200_330,130,0.0835940956852669,0.08878863061732166,0.08254128096330382
200_340,140,0.08633817471700504,0.08876438381277306,0.10118058231454412
200_350,150,0.08388933985641472,0.08678207571353247,0.09067693650458263
200_360,160,0.10030496079406735,0.10030496079406735,0.07960988055460912
40_200,160,0.07109433911645183,0.08206099398622181,0.025832808609737617
50_200,150,0.09016045767911855,0.10107945227196834,0.010816659234722938
60_200,140,0.09947294626039876,0.09888608009866892,0.0076986879474298334
70_200,130,0.054278245606577465,0.06978631577988531,0.012916404304868808
80_200,120,0.0651203294055074,0.0651203294055074,0.0
90_200,110,0.033575956834390845,0.033575956834390845,0.0
200_dog,NA,0.0,0.0,0.0
200_square,NA,0.08052809153882255,0.08052809153882255,0.0
200_triangle,NA,0.0,0.0,0.0
210_220,10,0.9545808042104723,0.9545808042104723,0.9147969680125405
210_230,20,0.8270487834083773,0.8270487834083773,0.8052621964111715
210_240,30,0.49065596273793993,0.49065596273793993,0.45686879625332977
210_250,40,0.19403893778894585,0.19645462424607202,0.05560384374855327
210_260,50,0.15050163959783416,0.15007224745430459,0.07146775744753708
210_270,60,0.1560530260895652,0.1578531051400875,0.05921411453740407
210_280,70,0.18392220444038054,0.18501839034283427,0.05417363388859614
210_290,80,0.14799376683696167,0.15007818608818646,0.05486377169695912
30_210,180,0.1071971098298646,0.1071971098298646,0.0436898351646309
210_300,90,0.1320925976644849,0.1386972275477091,0.05457071626117703
210_310,100,0.14579073607850002,0.14763300710999203,0.06230559828490335
210_320,110,0.14764467065659442,0.14764467065659442,0.0643915463026266
210_330,120,0.1485579401677205,0.15152025581384018,0.05734146386569555
210_340,130,0.1497407428989077,0.150735293015752,0.06560418166347888
210_350,140,0.14342777039923138,0.1451984836140367,0.06299330731662753
210_360,150,0.14253357799245805,0.14253357799245805,0.05530501872395148
40_210,170,0.07615747202005914,0.0789352280102988,0.026919095102908273
50_210,160,0.05518938532617395,0.05774828697661309,0.007514337885441285
60_210,150,0.038056114773128584,0.03783159296245665,0.0053482818730069765
70_210,140,0.018985725727039132,0.018985725727039132,0.008973031700969424
80_210,130,0.009965430091645081,0.009965430091645081,0.0
90_210,120,0.01233159059167475,0.01233159059167475,0.014220565008492751
210_dog,NA,0.0,0.0,0.0
210_square,NA,0.049745413295456425,0.049745413295456425,0.0
210_triangle,NA,0.0,0.0,0.0
220_230,10,0.8151145472777467,0.8151145472777467,0.8234036695710426
220_240,20,0.4462619397106713,0.4462619397106713,0.43548406697003417
220_250,30,0.13556527117627587,0.13962966526578469,0.005131242265058993
220_260,40,0.09683481299451731,0.09655853621752596,0.014389523635830043
220_270,50,0.09582997572345382,0.09565991352072162,0.008743049306486908
220_280,60,0.13012808499563544,0.13475198486005915,0.004443786154513492
220_290,70,0.09600094816219501,0.09600094816219501,0.013501191532731462
30_220,170,0.06530579605681201,0.06530579605681201,0.0
220_300,80,0.07510760417785899,0.07510760417785899,0.0
220_310,90,0.07929215138186115,0.08094585723433095,0.0
220_320,100,0.07995284173096656,0.07995284173096656,0.0
220_330,110,0.08306193770224601,0.08287653136010018,0.0
220_340,120,0.08263812108979256,0.08221969753491878,0.0
220_350,130,0.08155276221170618,0.08155276221170618,0.0
220_360,140,0.07855065450857751,0.07855065450857751,0.0
40_220,180,0.043302996267798315,0.045902478203988,0.0
50_220,170,0.04345003572748547,0.04221715892800254,0.01109502812822031
60_220,160,0.02596636288904609,0.025813167670691074,0.00789681522488238
70_220,150,0.016192872251908675,0.020241090314885843,0.0
80_220,140,0.008499487390124709,0.008499487390124709,0.0
90_220,130,0.00350585968259726,0.00350585968259726,0.0
220_dog,NA,0.0004151563635027872,0.0004151563635027872,0.0
